"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   SLprs,_inHG ","   SLtmp,_degC ","   _wind,speed ","   _wind,__dir ","   __trb,_locl ","   _prec,_locl ","   _hail,_locl ","   AMprs,_inHG ","   AMtmp,_degC ","   LEtmp,_degC ","   _dens,ratio ","   ____A,_ktas ","   ____Q,__psf ","   gravi,_fts2 ","   baro_,_inHG ","   edens,_part ","   vacum,ratio ","   vacum,ratio ","   _elec,ratio ","   _elec,ratio ","   _AHRS,ratio ","   _AHRS,ratio ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ", 
0,0.00883,0.00884,0.00884,0,0.01017,0.01017,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.24908,1.24908,1,1,1,1,-37.02663,-73.50541,44.09113,0.84397,1,-4.0562,-37.5,-74, 
0,0.01323,0.01324,0.01324,0,0.01524,0.01524,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.24903,1.24903,1,1,1,1,-37.02663,-73.50541,44.09116,0.844,1,-4.0559,-37.5,-74, 
0,0.01702,0.01703,0.01703,0,0.0196,0.0196,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24898,1.24898,1,1,1,1,-37.02663,-73.50541,44.0912,0.84404,1,-4.05565,-37.5,-74, 
0,0.01994,0.01995,0.01995,0,0.02296,0.02296,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24894,1.24894,1,1,1,1,-37.02663,-73.50541,44.09123,0.84408,1,-4.05544,-37.5,-74, 
0,0.02207,0.02209,0.02209,0,0.02542,0.02542,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.2489,1.2489,1,1,1,1,-37.02663,-73.50541,44.09125,0.84409,1,-4.05526,-37.5,-74, 
0,0.02328,0.0233,0.0233,0,0.02682,0.02682,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24887,1.24887,1,1,1,1,-37.02663,-73.50541,44.09125,0.84419,1,-4.05511,-37.5,-74, 
0,0.02363,0.02366,0.02365,0,0.02722,0.02722,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24884,1.24884,1,1,1,1,-37.02663,-73.50541,44.09122,0.84426,1,-4.05498,-37.5,-74, 
0,0.02314,0.02316,0.02316,0,0.02665,0.02665,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24881,1.24881,1,1,1,1,-37.02663,-73.50541,44.09118,0.84422,1,-4.05487,-37.5,-74, 
0,0.02154,0.02156,0.02156,0,0.02481,0.02481,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.24878,1.24878,1,1,1,1,-37.02663,-73.50541,44.0911,0.84414,1,-4.05476,-37.5,-74, 
0,0.01944,0.01946,0.01946,0,0.02239,0.02239,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.24876,1.24876,1,1,1,1,-37.02663,-73.50541,44.09103,0.84427,1,-4.05469,-37.5,-74, 
