"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ","   wing1,_lift ","   wing1,_lift ","   wing2,_lift ","   wing2,_lift ","   wing3,_lift ","   wing3,_lift ","   wing1,_drag ","   wing1,_drag ","   wing2,_drag ","   wing2,_drag ","   wing3,_drag ","   wing3,_drag ", 
80.24562,78.68475,79.59037,79.58833,92.34502,91.59097,91.59098,4.18528,0.13198,5.08958,-0.41245,0.04067,-36.48301,-73.05206,991.591,989.02155,0,983.43823,-36.5,-73,584.43829,585.93542,634.77325,636.53192,31.09186,30.00486,38.67558,38.85677,25.558,25.68875,0.67628,0.65575, 
79.34782,77.81638,78.71145,78.70942,91.31184,90.57952,90.57951,4.36825,0.13351,5.08435,-0.41077,0.03928,-36.48282,-73.05204,991.09955,988.52985,0,982.92566,-36.5,-73,582.20154,583.59436,635.50153,637.23907,31.71452,30.63079,39.17407,39.34568,26.09065,26.22462,0.68679,0.66562, 
78.50405,76.97392,77.85875,77.85674,90.34085,89.59825,89.59825,4.55182,0.13837,5.08286,-0.41122,0.03845,-36.48264,-73.05202,990.62891,988.05865,0,982.43787,-36.5,-73,580.05554,581.3764,636.20612,637.91968,32.3232,31.21532,39.67745,39.84345,26.62902,26.76629,0.69794,0.67559, 
77.62221,76.11338,76.98778,76.98576,89.32604,88.59595,88.59595,4.74581,0.14472,5.08436,-0.4135,0.03859,-36.48246,-73.05199,990.15222,987.5813,0,981.95129,-36.5,-73,577.87292,579.14362,636.93677,638.61938,32.94488,31.80229,40.21369,40.37563,27.20793,27.34691,0.71068,0.68643, 
76.78873,75.28105,76.14538,76.14336,88.36689,87.62654,87.62655,4.94028,0.14918,5.08779,-0.4176,0.03931,-36.48229,-73.05198,989.69336,987.12152,0,981.48346,-36.5,-73,575.81451,577.03979,637.68372,639.3175,33.53216,32.37191,40.75893,40.91715,27.79671,27.93489,0.72416,0.6984, 
75.89456,74.41618,75.27005,75.268,87.33791,86.61923,86.61923,5.14907,0.15077,5.09233,-0.42346,0.04013,-36.48211,-73.05196,989.21704,986.64404,0,981.00507,-36.5,-73,573.67444,574.84589,638.4516,640.0174,34.12199,32.96981,41.35212,41.50494,28.44036,28.57562,0.73837,0.71207, 
75.01782,73.55001,74.39342,74.3913,86.32897,85.61042,85.61041,5.36593,0.14966,5.09695,-0.43137,0.04062,-36.48194,-73.05194,988.73877,986.16443,0,980.52692,-36.5,-73,571.578,572.69171,639.24689,640.72833,34.69382,33.57243,41.97429,42.12134,29.11456,29.2455,0.75435,0.72721, 
74.14528,72.69537,73.52847,73.52629,85.32487,84.61505,84.61505,5.5875,0.14717,5.10093,-0.44095,0.04061,-36.48177,-73.05192,988.26404,985.68823,0,980.05652,-36.5,-73,569.52252,570.58179,640.02899,641.41937,35.24469,34.16516,42.61539,42.75692,29.81435,29.94029,0.77056,0.74362, 
73.27315,71.84035,72.66312,72.66087,84.32124,83.61923,83.61923,5.81767,0.14467,5.10392,-0.45234,0.04013,-36.4816,-73.0519,987.78455,985.20715,0,979.58533,-36.5,-73,567.5072,568.52075,640.84399,642.13739,35.79065,34.7534,43.28912,43.42664,30.54967,30.67039,0.78788,0.76123, 
72.40063,70.98306,71.79551,71.79314,83.31716,82.6208,82.6208,6.05665,0.14328,5.10585,-0.46558,0.0394,-36.48143,-73.05189,987.29816,984.71893,0,979.11115,-36.5,-73,565.48773,566.47028,641.63641,642.83649,36.33259,35.32977,43.99403,44.1297,31.3196,31.43529,0.80687,0.77973, 
71.49892,70.1043,70.90617,70.90366,82.2795,81.59737,81.59736,6.31094,0.14171,5.1068,-0.48133,0.03868,-36.48127,-73.05186,986.79205,984.21094,0,978.62024,-36.5,-73,563.43585,564.39697,642.44983,643.55927,36.88076,35.91373,44.75061,44.88536,32.15166,32.2614,0.82768,0.80032, 
70.59964,69.21756,70.00874,70.00608,81.24461,80.56463,80.56462,6.57773,0.13873,5.1066,-0.49914,0.03775,-36.4811,-73.05185,986.27222,983.68896,0,978.11774,-36.5,-73,561.40369,562.34039,643.28967,644.29297,37.42162,36.49988,45.55214,45.68538,33.03372,33.13572,0.84999,0.82292, 
69.62386,68.35278,69.13357,69.13074,80.12171,79.55749,79.5575,6.84798,0.13459,5.10527,-0.51961,0.03655,-36.48094,-73.05183,985.75482,983.16937,0,977.6214,-36.5,-73,559.43475,560.34344,643.79047,644.69141,37.93746,37.06722,46.37224,46.50342,33.90948,34.00358,0.87273,0.84658, 
68.45454,67.48065,68.25093,68.24784,78.77608,78.54177,78.54176,7.1314,0.12976,5.1029,-0.54487,0.03503,-36.48079,-73.05181,985.21918,982.63141,0,977.11316,-36.5,-73,557.48212,558.35632,644.01221,644.81458,38.45012,37.63434,47.24135,47.36947,34.81111,34.89732,0.89792,0.87154, 
67.30879,66.62473,67.3847,67.3813,77.45758,77.54493,77.54494,7.41767,0.1255,5.0996,-0.57683,0.03341,-36.48063,-73.0518,984.67316,982.08289,0,976.60132,-36.5,-73,555.50195,556.28125,644.16217,644.22314,38.93713,38.16267,48.11948,48.23368,35.73447,35.74533,0.92331,0.89756, 
66.13609,65.75999,66.50954,66.5057,76.10806,76.53781,76.53781,7.71743,0.12418,5.09472,-0.61509,0.03213,-36.48048,-73.05178,984.08807,981.4953,0,976.0614,-36.5,-73,553.49841,554.20758,644.09692,643.18237,39.42804,38.67718,49.04238,49.14637,36.69421,36.60116,0.95123,0.92516, 
64.9385,64.92152,65.6609,65.65655,74.7299,75.56122,75.5612,8.0258,0.12575,5.08756,-0.65941,0.03145,-36.48033,-73.05176,983.46948,980.8739,0,975.49866,-36.5,-73,551.75366,552.448,644.03583,642.15662,39.93909,39.19718,50.0065,50.10909,37.68236,37.47977,0.98094,0.95432, 
63.81118,64.12021,64.84983,64.84504,73.4326,74.62786,74.62786,8.413,0.13988,5.07208,-0.69625,0.02231,-36.48018,-73.05174,982.82166,980.22333,0,974.91327,-36.5,-73,555.73401,556.13568,647.09174,644.65161,40.90413,39.97581,51.72643,51.68065,39.07914,38.81498,1.02784,0.98985, 
62.6657,63.32928,64.0493,64.04515,72.1144,73.70662,73.70662,8.78273,0.14313,5.05417,-0.65175,0.01576,-36.48003,-73.05173,982.17993,979.57874,0,974.29376,-36.5,-73,558.14886,557.78613,648.27356,645.80969,41.85101,40.71618,53.24492,53.05737,40.31666,40.01075,1.07514,1.02809, 
61.50384,62.54071,63.25119,63.24765,70.77735,72.78817,72.78817,9.09558,0.04988,5.03439,-0.60592,0.01096,-36.47988,-73.05171,981.5672,978.96277,0,973.64063,-36.5,-73,558.2738,557.0069,645.82172,642.92487,42.21847,41.40619,54.31583,53.93976,41.17183,40.72388,1.10078,1.06526, 
60.47149,61.83185,62.53379,62.53062,69.58935,71.96261,71.96261,9.3194,-0.17486,5.01103,-0.57681,-0.00367,-36.47974,-73.0517,981.04248,978.435,0,973.05048,-36.5,-73,556.44775,553.28906,639.82269,638.54254,41.92608,42.09499,54.9043,54.13804,41.4851,41.10532,1.09916,1.10223, 
59.37969,61.08698,61.77996,61.77633,68.33293,71.09511,71.09511,9.49649,-0.52744,4.96862,-0.6204,-0.04105,-36.47959,-73.05168,980.48553,977.87469,0,972.45111,-36.5,-73,552.08661,546.30872,631.0907,630.62714,41.00291,42.80436,55.10533,53.81054,41.48603,41.08255,1.07348,1.14248, 
58.37131,60.39139,61.07591,61.07045,67.1725,70.2849,70.2849,9.67283,-0.89978,4.89671,-0.76581,-0.09876,-36.47945,-73.05167,979.86469,977.25055,0,971.88531,-36.5,-73,547.66083,539.44135,623.22034,623.10449,40.02937,43.56262,55.29303,53.51184,41.51646,41.08039,1.04583,1.18698, 
57.37437,59.71758,60.39375,60.38451,66.02525,69.49989,69.49989,9.87567,-1.22625,4.78303,-1.00262,-0.17207,-36.47931,-73.05165,979.05981,976.44214,0,971.2713,-36.5,-73,543.5108,533.49298,616.6814,616.57996,39.27032,44.31552,55.55968,53.41613,41.683,41.22536,1.02715,1.23371, 
56.45817,59.11878,59.78728,59.77152,64.97091,68.80199,68.80199,10.01738,-1.42472,4.63343,-1.31612,-0.24633,-36.47917,-73.05164,978.05505,975.4339,0,970.58832,-36.5,-73,538.0415,527.13708,609.47339,609.09235,38.63557,44.589,55.44012,53.12604,41.59142,41.13583,1.01206,1.259, 
