f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
92.63081;100.88781;0.01080;0.01035;0.00364;1.00000;1.00000;96.98205;97.41190;98.56533;98.56528;111.60495;113.42696;113.42696;1.16598;-1.48113;5.83140;-0.06019;-0.99188;-36.72210;-73.08126;1013.86322;1010.49036;0.00000;1004.86377;-36.50000;-73.00000;2548.30542;226.59093;-36.36703;209.31680;-214.19757;4.75854;11.24628;0.39176;0.03483;9.54604;685.28296;632.48853;590.89148;595.81567;6.89128;20.48047;34.05920;30.23099;17.36582;17.53741;0.63970;0.72475;55.32178;-43.02852;3.06787;4.12484;4.01435;2.20815
92.10925;98.48336;0.01086;0.01062;0.00363;1.00000;1.00000;97.34838;97.74409;98.90118;98.90109;112.02652;113.81345;113.81344;1.13503;-1.44437;5.80293;-0.07018;-0.97185;-36.72164;-73.08121;1013.67334;1010.33051;0.00000;1004.70203;-36.50000;-73.00000;2549.15259;226.90355;-35.76044;206.52991;-211.79544;3.81309;11.23452;0.38923;0.03465;9.55663;685.79755;633.75848;591.09174;595.96600;6.76423;20.04613;33.96929;30.21223;17.32457;17.49395;0.64276;0.72425;54.23291;-42.53115;2.97650;4.11047;4.01501;2.20726
92.18870;98.57072;0.01085;0.01053;0.00364;1.00000;1.00000;97.68395;98.04685;99.20719;99.20710;112.41269;114.16560;114.16560;1.10727;-1.41949;5.78457;-0.07760;-0.95536;-36.72119;-73.08115;1013.45740;1010.14337;0.00000;1004.51587;-36.50000;-73.00000;2549.97754;227.21523;-35.49069;203.75890;-209.53349;5.03312;11.22274;0.38695;0.03448;9.56859;686.34064;634.85052;591.28015;596.14807;6.59564;19.70413;33.89640;30.19065;17.28855;17.45725;0.64536;0.72430;53.27624;-42.12171;3.03311;4.09775;4.01669;2.20747
93.78065;95.23810;0.01066;0.01067;0.00364;1.00000;1.00000;97.98862;98.31916;99.48238;99.48228;112.76330;114.48229;114.48229;1.08254;-1.39205;5.77430;-0.08284;-0.94171;-36.72073;-73.08109;1013.22266;1009.93622;0.00000;1004.30316;-36.50000;-73.00000;2550.67798;227.47452;-35.02620;201.32591;-207.19618;4.50463;11.21303;0.38492;0.03433;9.57717;686.76099;635.84827;591.46112;596.33557;6.47695;19.36034;33.82773;30.17323;17.25715;17.42629;0.64774;0.72411;52.35593;-41.71649;2.96324;4.08472;4.01719;2.20681
91.87990;84.31703;0.01088;0.01038;0.00358;1.00000;1.00000;98.26303;98.56516;99.73094;99.73083;113.07908;114.76833;114.76833;1.06066;-1.36689;5.77070;-0.08538;-0.92814;-36.72028;-73.08103;1012.97656;1009.71631;0.00000;1004.07343;-36.50000;-73.00000;2551.51807;227.73062;-34.61658;199.14256;-205.56691;4.16677;11.20411;0.38313;0.03420;9.58984;687.19171;636.78827;591.65460;596.55469;6.38152;19.04460;33.77019;30.16026;17.23090;17.40085;0.64996;0.72401;51.59018;-41.38392;2.90321;4.07509;4.01866;2.20681
91.43129;82.32485;0.01094;0.01050;0.00360;1.00000;1.00000;98.51089;98.78493;99.95293;99.95283;113.36432;115.02378;115.02379;1.04085;-1.34619;5.77022;-0.08623;-0.91660;-36.71982;-73.08097;1012.72516;1009.48975;0.00000;1003.83051;-36.50000;-73.00000;2551.96851;227.94287;-34.29848;197.28709;-203.68782;4.10891;11.19565;0.38149;0.03407;9.58714;687.52155;637.54181;591.77789;596.68744;6.27872;18.76929;33.71582;30.14377;17.20574;17.37630;0.65186;0.72394;50.87579;-41.09116;2.87114;4.06609;4.01970;2.20659
91.94080;98.51247;0.01088;0.01045;0.00364;1.00000;1.00000;98.73497;98.98403;100.15402;100.15391;113.62218;115.25520;115.25520;1.02327;-1.32872;5.77087;-0.08538;-0.90592;-36.71936;-73.08092;1012.47168;1009.26007;0.00000;1003.57440;-36.50000;-73.00000;2552.54883;228.15244;-34.03156;195.73668;-202.55037;3.66244;11.18791;0.38004;0.03397;9.59176;687.90009;638.21570;591.90466;596.85095;6.18813;18.52522;33.67247;30.12954;17.18410;17.35602;0.65364;0.72398;50.35929;-40.91866;2.82042;4.06138;4.02280;2.20755
92.32480;98.67772;0.01083;0.01080;0.00367;1.00000;1.00000;98.93510;99.16128;100.33300;100.33289;113.85249;115.46116;115.46116;1.00739;-1.31572;5.77041;-0.08340;-0.89768;-36.71890;-73.08086;1012.22339;1009.03418;0.00000;1003.32446;-36.50000;-73.00000;2552.82642;228.32924;-33.88033;194.34300;-201.25262;3.88203;11.18046;0.37873;0.03387;9.59227;688.19226;638.75470;591.97876;596.93494;6.08377;18.32395;33.63104;30.11334;17.16368;17.33575;0.65517;0.72412;49.86919;-40.75813;2.82515;4.05654;4.02520;2.20834
92.53238;95.14747;0.01081;0.01043;0.00361;1.00000;1.00000;99.11435;99.31934;100.49256;100.49247;114.05876;115.64478;115.64480;0.99328;-1.30193;5.76837;-0.08078;-0.89059;-36.71844;-73.08080;1011.98090;1008.81274;0.00000;1003.07587;-36.50000;-73.00000;2553.04810;228.48051;-33.66727;192.97806;-200.09309;3.49799;11.17403;0.37756;0.03379;9.58925;688.41858;639.25281;592.04169;597.00421;6.00467;18.12967;33.59172;30.10060;17.14560;17.31759;0.65657;0.72414;49.41614;-40.59953;2.79062;4.05201;4.02703;2.20881
92.46812;96.05225;0.01081;0.01078;0.00373;1.00000;1.00000;99.27374;99.45908;100.63362;100.63354;114.24218;115.80711;115.80711;0.98081;-1.29026;5.76459;-0.07785;-0.88432;-36.71798;-73.08074;1011.74652;1008.59808;0.00000;1002.83197;-36.50000;-73.00000;2553.17896;228.61290;-33.51604;191.64824;-198.97697;3.54181;11.16813;0.37652;0.03371;9.58518;688.59119;639.68402;592.09320;597.04968;5.92925;17.96193;33.55568;30.08916;17.12967;17.30101;0.65781;0.72419;48.99320;-40.44321;2.78858;4.04735;4.02821;2.20907
