f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
97.17557;98.18361;0.01029;0.01025;0.00374;1.00000;1.00000;100.00732;100.02625;101.20290;101.20290;115.08636;116.46222;116.46223;9.42071;0.25274;0.02683;8.17379;525.40436;484.62744;384.09576;388.34308;-11.98278;-2.97672;21.61225;19.42966;10.48907;10.59080;0.68298;0.65913;21.29018;-49.60054;1.71620;3.56945;4.05003;2.21638
98.42905;100.43185;0.01016;0.01004;0.00366;1.00000;1.00000;100.00586;100.02576;101.20241;101.20241;115.08469;116.46165;116.46165;9.42069;0.25275;0.02683;8.17902;525.39539;484.62421;384.09363;388.34225;-11.98366;-2.97513;21.61189;19.42957;10.48901;10.59077;0.68297;0.65912;21.28458;-49.59340;1.72827;3.56929;4.04982;2.21629
94.86139;100.72522;0.01054;0.01020;0.00373;1.00000;1.00000;100.00586;100.02559;101.20224;101.20225;115.08469;116.46146;116.46147;9.42063;0.25274;0.02683;8.18073;525.39355;484.61899;384.09012;388.33533;-11.98495;-2.97441;21.61179;19.42930;10.48893;10.59059;0.68298;0.65911;21.28628;-49.59531;1.72884;3.56931;4.04986;2.21631
98.33053;101.65701;0.01017;0.00985;0.00361;1.00000;1.00000;100.00211;99.97608;101.15215;101.15215;115.08037;116.40382;116.40382;9.42278;0.25257;0.02680;8.52085;523.95679;483.88022;383.09213;388.11548;-12.02337;-2.96008;21.54321;19.39869;10.46392;10.58414;0.68179;0.65774;19.83237;-47.63029;2.15028;3.54470;3.94788;2.20553
98.99516;101.38902;0.01010;0.00987;0.00363;1.00000;1.00000;99.90534;99.66499;100.83729;100.83727;114.96902;116.04148;116.04149;9.46114;0.25324;0.02677;8.39164;518.90820;482.44260;383.14969;388.10040;-11.27431;-3.18976;21.34776;19.39170;10.45655;10.57752;0.67154;0.65045;15.78928;-44.06403;1.96683;3.50880;3.83217;2.14771
97.27591;96.60902;0.01028;0.00994;0.00369;1.00000;1.00000;99.61702;99.24364;100.41069;100.41058;114.63722;115.55057;115.55057;9.54588;0.25597;0.02681;8.37317;515.56378;482.76260;385.64746;389.85593;-9.85752;-3.49020;21.27249;19.50340;10.50601;10.61442;0.65777;0.64286;13.38842;-40.47881;0.84931;3.43408;3.72654;2.09656
97.78046;101.50224;0.01023;0.01027;0.00377;1.00000;1.00000;99.23033;98.86893;100.03117;100.03102;114.19223;115.11382;115.11382;9.60727;0.25873;0.02693;8.07037;514.90948;482.69962;388.45428;390.99301;-9.20110;-3.16764;21.32329;19.57308;10.56852;10.63737;0.65028;0.63754;13.51929;-39.56108;0.88575;3.40642;3.68854;2.07612
98.43520;95.96929;0.01016;0.00989;0.00368;1.00000;1.00000;98.90535;98.72243;99.88256;99.88248;113.81824;114.94280;114.94280;9.62239;0.26044;0.02707;8.20442;517.64026;483.05316;389.61465;391.95471;-9.35014;-2.58390;21.49104;19.60495;10.59675;10.65841;0.65124;0.63775;16.75873;-42.19778;1.10571;3.45142;3.74656;2.10092
97.72825;101.41988;0.01023;0.00997;0.00349;1.00000;1.00000;98.74682;98.69611;99.85575;99.85574;113.63581;114.91196;114.91196;9.61071;0.26073;0.02713;8.39448;519.99957;482.54904;388.83212;391.84155;-10.06080;-1.86124;21.60958;19.56558;10.57898;10.65275;0.65614;0.63940;19.30418;-44.61524;2.01231;3.44146;3.80878;2.13188
95.03940;81.53947;0.01052;0.00999;0.00297;1.00000;1.00000;98.67963;98.61765;99.77637;99.77636;113.55849;114.82059;114.82059;9.59975;0.26024;0.02711;8.47186;518.91309;481.10852;386.98450;390.66043;-10.29471;-1.75373;21.55183;19.49323;10.53254;10.62030;0.65657;0.63863;19.43504;-45.07000;1.98833;3.44181;3.81403;2.13394
96.91634;94.79572;0.01032;0.00986;0.00315;1.00000;1.00000;98.58083;98.44344;99.60018;99.60017;113.44480;114.61785;114.61785;9.61549;0.26053;0.02709;8.57170;516.62433;479.99597;386.33981;390.12131;-10.01578;-1.85603;21.46035;19.46595;10.51342;10.60420;0.65231;0.63547;18.36049;-43.89924;1.72644;3.41024;3.77475;2.11474
