f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
88.99765;94.44655;0.01124;0.01052;0.00304;1.00000;1.00000;100.02532;100.18412;101.36728;101.36714;115.10709;116.65138;116.65137;0.90659;-1.26209;5.75927;-0.09024;-0.88326;-36.71754;-73.08069;1011.78729;1008.65594;0.00000;1002.91211;-36.50000;-73.00000;2550.41626;229.32214;-33.27486;190.31300;-187.42499;2.70846;11.12154;0.37068;0.03333;9.55642;690.21448;641.43829;590.90179;595.90741;5.25664;17.14496;33.37513;29.95641;16.99164;17.16381;0.66534;0.72665;47.71441;-41.10530;2.74527;4.06020;4.07250;2.23024
94.14381;95.89566;0.01062;0.01055;0.00319;1.00000;1.00000;100.14301;100.28230;101.46622;101.46611;115.24252;116.76524;116.76524;0.89859;-1.25224;5.75258;-0.08632;-0.87644;-36.71708;-73.08063;1011.52448;1008.41034;0.00000;1002.64148;-36.50000;-73.00000;2550.61230;229.41504;-33.15041;188.79633;-186.52704;2.94361;11.11790;0.36999;0.03328;9.56726;690.27094;641.75708;591.00537;596.01361;5.21771;17.02282;33.34901;29.95271;16.98366;17.15570;0.66615;0.72659;47.33467;-40.91394;2.75580;4.05460;4.07104;2.22919
94.17564;95.72126;0.01062;0.01037;0.00336;1.00000;1.00000;100.24252;100.36481;101.54933;101.54921;115.35704;116.86089;116.86087;0.89191;-1.24401;5.74491;-0.08196;-0.87102;-36.71661;-73.08057;1011.27258;1008.17426;0.00000;1002.37646;-36.50000;-73.00000;2550.77222;229.49133;-33.04028;187.60266;-185.73355;3.03172;11.11489;0.36940;0.03323;9.56616;690.31372;642.02313;591.09888;596.09882;5.18437;16.92119;33.32694;29.94980;16.97738;17.14879;0.66683;0.72654;47.01095;-40.75040;2.75969;4.04977;4.06972;2.22823
93.47897;99.70090;0.01070;0.01083;0.00356;1.00000;1.00000;100.32608;100.43309;101.61806;101.61798;115.45319;116.93999;116.93999;0.88638;-1.23615;5.73671;-0.07737;-0.86640;-36.71614;-73.08051;1011.03345;1007.94965;0.00000;1002.12164;-36.50000;-73.00000;2550.86035;229.54684;-32.91098;186.68840;-185.02995;2.81456;11.11259;0.36891;0.03320;9.57032;690.32056;642.23700;591.17853;596.16315;5.16368;16.82924;33.30714;29.94751;16.97231;17.14287;0.66738;0.72642;46.73049;-40.60570;2.74293;4.04537;4.06828;2.22718
95.10983;97.97198;0.01051;0.01081;0.00361;1.00000;1.00000;100.39502;100.48851;101.67380;101.67372;115.53253;117.00413;117.00413;0.88194;-1.22990;5.72852;-0.07262;-0.86243;-36.71568;-73.08045;1010.81000;1007.73920;0.00000;1001.88306;-36.50000;-73.00000;2550.93286;229.59204;-32.82420;185.72588;-184.46541;2.88110;11.11072;0.36852;0.03317;9.57511;690.31342;642.40967;591.24554;596.22357;5.14537;16.75694;33.29056;29.94589;16.96832;17.13840;0.66781;0.72634;46.48611;-40.47034;2.74580;4.04132;4.06669;2.22615
91.37856;86.25151;0.01094;0.01043;0.00350;1.00000;1.00000;100.45127;100.53181;101.71731;101.71724;115.59726;117.05419;117.05420;0.87832;-1.22418;5.72051;-0.06804;-0.85918;-36.71521;-73.08040;1010.60028;1007.54114;0.00000;1001.66437;-36.50000;-73.00000;2550.83032;229.61177;-32.73754;184.77924;-183.74709;2.95520;11.10932;0.36818;0.03314;9.56793;690.24231;642.51489;591.27924;596.25055;5.13233;16.69471;33.27367;29.94331;16.96444;17.13418;0.66811;0.72618;46.24016;-40.32978;2.74862;4.03670;4.06438;2.22474
87.79652;83.50034;0.01139;0.00540;0.00302;1.00000;1.00000;100.48222;100.54728;101.73358;101.71870;115.63287;117.07292;117.07293;0.09279;-1.20053;5.70891;0.98002;-0.86932;-36.71491;-73.08036;1011.02588;1007.97357;0.00000;1001.54120;-36.50000;-73.00000;2129.67822;206.77219;-30.77119;194.93059;18.22523;-11.54321;10.29963;0.30730;0.02984;8.88059;610.89191;563.28845;485.03772;489.39328;-4.60928;6.71047;27.11892;24.19570;13.26829;13.39324;0.67108;0.68367;32.68527;-52.40648;1.86992;3.79731;4.22469;2.30169
88.92902;88.24568;0.01124;0.01134;0.00481;1.00000;1.00000;100.45873;100.25457;101.44594;101.34225;115.60585;116.74191;116.74191;-0.39319;-1.17886;5.67004;2.59072;-0.92740;-36.71445;-73.08030;1016.74060;1013.69763;0.00000;1003.01715;-36.50000;-73.00000;1872.70715;194.20061;-29.58665;198.01117;-82.78708;-18.80513;9.64316;0.27180;0.02819;8.24055;558.90985;511.51746;416.73218;420.92468;-10.16808;0.65680;23.58071;20.92132;11.31676;11.42321;0.68502;0.67041;31.95600;-53.27637;1.42865;3.77555;4.22923;2.31715
92.09623;79.39028;0.01086;0.01075;0.00315;1.00000;1.00000;100.19251;99.89276;101.09238;100.96684;115.29948;116.33504;116.33505;-0.73379;-1.26693;5.60524;2.85585;-1.02698;-36.71398;-73.08025;1025.19189;1022.15692;0.00000;1008.47711;-36.50000;-73.00000;1685.28748;186.21959;-31.39650;219.81366;-77.60387;-15.75328;9.05000;0.24638;0.02722;7.53303;523.64410;473.70309;368.34717;371.77798;-14.56588;-3.02587;21.36749;18.73836;10.11716;10.19409;0.70394;0.66832;31.44201;-59.12845;1.87135;3.79095;4.34774;2.35445
94.94205;98.26078;0.01053;0.01037;0.00318;1.00000;1.00000;99.94029;99.98701;101.19913;101.12988;115.00924;116.45789;116.45788;-0.98783;-1.46933;5.50176;2.11959;-1.18467;-36.71351;-73.08018;1032.82031;1029.79199;0.00000;1016.13019;-36.50000;-73.00000;1559.60938;182.66209;-36.36619;240.06862;-68.09175;-7.53458;8.53822;0.22757;0.02665;7.04587;504.35693;448.17795;334.37851;338.41251;-18.72205;-5.02062;20.13326;17.31144;9.38119;9.46290;0.73573;0.67679;35.27173;-68.48522;2.83316;3.92180;4.61676;2.45687
