  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   SLprs,_inHG ;   SLtmp,_degC ;   _wind,speed ;   _wind,__dir ;   __trb,_locl ;   _prec,_locl ;   _hail,_locl ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
-21;0.01898;0.019;0.01899;-24.16637;0.02186;0.02186;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14388;0.26286;1;47.9939;-36.5;-73;10.78738;30965.11914;2870.49561;0.01262;5.53157;3.78338;0.00002;0.00006;0.1519;-0.10221;0.15286;0.09259;0;0;0.00666;0.00636; 
-21;0.16435;0.16449;0.16447;-24.16637;0.18929;0.18929;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14281;0.26219;1;47.99366;-36.5;-73;10.43642;514.10266;49.26045;0.06928;6.64392;4.58384;0.00139;0.00319;0.18112;-0.12102;0.1835;0.11231;0.00003;0.00007;0.008;0.00764; 
-20.8631;0.44838;0.44875;0.44871;-24.00883;0.51641;0.51641;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.1405;0.26272;1;47.99207;-36.5;-73;10.98417;79.54981;7.24222;0.21369;8.09693;5.55069;0.01203;0.01428;0.22767;-0.14625;0.22413;0.13607;0.00025;0.0003;0.00975;0.00929; 
-20.48456;0.57631;0.57679;0.57674;-23.57321;0.66375;0.66375;29.92;15;0;0;0;0;0;-36.78184;-73.06845;57.13542;0.2627;1;47.98945;-36.5;-73;10.21547;54.31731;5.31716;0.26882;8.95435;6.11815;0.02111;0.02173;0.25245;-0.16338;0.24827;0.15006;0.00045;0.00046;0.01076;0.01025; 
-20.26309;0.72604;0.72664;0.72657;-23.31835;0.8362;0.8362;29.92;15;0;0;0;0;0;-36.78183;-73.06845;57.12919;0.26533;1;47.98474;-36.5;-73;12.04119;36.30569;3.01513;0.40061;9.39644;6.41673;0.03442;0.03455;0.2668;-0.17088;0.26091;0.15756;0.00073;0.00074;0.01128;0.01074; 
-20.05943;0.88109;0.88183;0.88173;-23.08399;1.01479;1.01479;29.92;15;0;0;0;0;0;-36.78183;-73.06845;57.12135;0.26937;1;47.97863;-36.5;-73;10.29471;25.42924;2.47013;0.41939;9.62355;6.57607;0.0517;0.05184;0.2754;-0.17322;0.26762;0.16171;0.00111;0.00111;0.01155;0.01098; 
-19.84636;1.06341;1.0643;1.06415;-22.83878;1.22477;1.22477;29.92;15;0;0;0;0;0;-36.78183;-73.06845;57.11002;0.27389;1;47.97032;-36.5;-73;9.68366;17.77919;1.836;0.48441;9.76695;6.65796;0.06938;0.08588;0.28448;-0.17502;0.27261;0.16417;0.00147;0.00192;0.0117;0.01112; 
-19.61963;1.23635;1.23738;1.23721;-22.57787;1.42395;1.42395;29.92;15;0;0;0;0;0;-36.78182;-73.06844;57.09571;0.26449;1;47.95901;-36.5;-73;9.18139;13.20356;1.43808;0.52324;9.78884;6.69387;0.0965;0.11537;0.2874;-0.1709;0.27348;0.16528;0.00205;0.00257;0.01172;0.01112; 
-19.39632;1.40921;1.41039;1.41022;-22.32089;1.62304;1.62304;29.92;15;0;0;0;0;0;-36.78182;-73.06844;57.08154;0.25653;1;47.94514;-36.5;-73;9.76034;10.08829;1.0336;0.63977;9.83863;6.70856;0.13375;0.13009;0.29245;-0.17488;0.27516;0.16555;0.00287;0.00277;0.01178;0.01117; 
-19.16989;1.57004;1.57135;1.57121;-22.06032;1.80827;1.80827;29.92;15;0;0;0;0;0;-36.78181;-73.06844;57.06812;0.26226;1;47.93156;-36.5;-73;10.03239;7.97246;0.79467;1.1866;9.55852;6.48528;0.15803;0.16373;0.28807;-0.1737;0.2682;0.16036;0.00336;0.0035;0.01143;0.01085; 
