  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
61.24732;63.64096;64.59253;64.59191;70.48216;74.33176;74.33175;-36.80592;-73.08772;1005.7583;956.99603;1;996.10071;-36.5;-73;10.48704;0.71522;0.0682;8.54372;477.97839;446.8497;482.21274;483.22043;21.89256;33.02365;35.20805;31.44706;22.26133;22.18323;0.47154;0.74777; 
61.27078;63.63858;64.59054;64.59005;70.50916;74.32947;74.32946;-36.80563;-73.08772;1006.20923;957.05371;1;996.59875;-36.5;-73;10.49518;0.71482;0.06811;8.59984;477.22208;446.65628;482.10376;483.21558;21.97126;32.88855;35.14187;31.45177;22.24405;22.1887;0.47297;0.74396; 
61.26645;63.60223;64.554;64.55368;70.50417;74.28742;74.28742;-36.80533;-73.08772;1006.59052;957.04047;1;997.04236;-36.5;-73;10.50074;0.71532;0.06812;8.57547;476.27109;446.43387;482.2952;483.39786;22.1783;32.68383;35.10704;31.4986;22.27922;22.22638;0.47671;0.73859; 
61.22655;63.55814;64.50954;64.50935;70.45826;74.23625;74.23625;-36.80503;-73.08772;1006.89502;956.93927;1;997.42114;-36.5;-73;10.49662;0.71667;0.06828;8.52648;475.99539;446.46899;482.86627;483.86514;22.33286;32.6311;35.15729;31.57354;22.36054;22.29108;0.47949;0.73753; 
61.17646;63.53075;64.48196;64.48183;70.40062;74.20451;74.20451;-36.80473;-73.08772;1007.13232;956.76514;1;997.72766;-36.5;-73;10.48667;0.71799;0.06847;8.49686;476.38278;446.70184;483.44077;484.34558;22.34419;32.75035;35.24719;31.63416;22.43422;22.34859;0.47963;0.74101; 
61.13926;63.51924;64.47047;64.47036;70.3578;74.1913;74.19129;-36.80444;-73.08773;1007.33521;956.54974;1;997.9704;-36.5;-73;10.47908;0.71871;0.06859;8.51405;476.79614;446.89197;483.70636;484.60376;22.28893;32.88567;35.30596;31.66241;22.46701;22.38026;0.47857;0.74471; 
61.11698;63.5052;64.45641;64.45632;70.33217;74.17511;74.17512;-36.80414;-73.08775;1007.52612;955.95074;1;998.17993;-36.5;-73;10.47842;0.71899;0.06862;8.55312;476.71109;446.88177;483.6868;484.63123;22.29206;32.89715;35.30659;31.67417;22.46999;22.39578;0.47861;0.74499; 
61.09376;63.4748;64.42571;64.42564;70.30544;74.13979;74.1398;-36.80384;-73.08775;1007.70044;955.48102;1;998.37323;-36.5;-73;10.48022;0.71941;0.06864;8.56231;476.1893;446.75021;483.6362;484.6293;22.40566;32.78356;35.28346;31.69766;22.48074;22.41588;0.48069;0.74201; 
61.05492;63.43081;64.38121;64.38116;70.26076;74.08858;74.08857;-36.80354;-73.08777;1007.84613;955.97266;1;998.54529;-36.5;-73;10.47853;0.7203;0.06874;8.5313;475.72507;446.63287;483.76654;484.73456;22.53654;32.69191;35.28933;31.73946;22.51998;22.4515;0.4831;0.73978; 
61.00225;63.38933;64.33921;64.33919;70.20013;74.04025;74.04025;-36.80325;-73.08778;1007.9585;955.80444;1;998.68988;-36.5;-73;10.47146;0.72148;0.0689;8.50809;475.70447;446.65137;484.04721;484.9595;22.59488;32.71843;35.34031;31.7865;22.57505;22.49562;0.48413;0.74077; 
60.94953;63.35892;64.30843;64.3084;70.13947;74.00482;74.00481;-36.80295;-73.08781;1008.04816;955.15167;1;998.80182;-36.5;-73;10.46304;0.72249;0.06905;8.49749;475.93936;446.72595;484.26605;485.13629;22.57773;32.81839;35.39867;31.81948;22.6173;22.53077;0.48374;0.74366; 
