f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
83.94314;85.28785;0.01191;0.01162;0.00399;1.00000;1.00000;92.29605;91.88921;106.63794;106.63793;106.21240;122.71676;122.71676;1.82681;-1.16410;141.08112;-0.01426;-0.73005;-36.98946;-72.61883;10005.08008;9510.32910;0.00000;9995.99023;-36.50000;-73.00000;11.47000;0.43867;0.03825;10.00119;652.37805;614.79901;602.35187;607.49725;14.15609;23.52596;34.73813;31.73220;18.87967;19.09897;0.58884;0.67730;41.11116;-24.07734;3.12689;3.35064;3.24876;1.73344
83.63663;80.61266;0.01196;0.01146;0.00389;1.00000;1.00000;91.90900;91.47361;106.15546;106.15543;105.76699;122.16153;122.16154;1.88373;-1.03913;141.09599;-0.04818;-0.70729;-36.98984;-72.61845;10004.97949;9515.22559;0.00000;9995.90527;-36.50000;-73.00000;11.50154;0.44286;0.03850;9.77933;649.87231;614.48547;603.77094;608.09662;15.29704;23.16846;34.77224;31.92479;19.03888;19.22493;0.59055;0.66877;39.67242;-21.77264;1.57925;3.29441;3.13501;1.69748
81.53654;82.35197;0.01226;0.01170;0.00389;1.00000;1.00000;91.50915;91.09573;105.71665;105.71661;105.30685;121.65656;121.65657;1.94553;-1.04928;141.11307;-0.05637;-0.67369;-36.99022;-72.61806;10004.80566;9520.01465;0.00000;9995.79297;-36.50000;-73.00000;11.50900;0.44756;0.03889;10.21153;649.87579;614.64362;605.45050;610.04443;15.77234;23.63169;34.98910;32.12498;19.21505;19.40704;0.58950;0.67045;40.35720;-21.59490;1.91047;3.29052;3.11646;1.68652
73.49750;75.46601;0.01361;0.01499;0.00467;1.00000;1.00000;91.10958;90.68513;105.23983;105.23978;104.84704;121.10784;121.10784;2.00131;-1.11082;141.11211;-0.05751;-0.67377;-36.99061;-72.61767;10004.62207;9528.38965;0.00000;9995.63867;-36.50000;-73.00000;11.51541;0.45160;0.03922;10.28605;648.61035;613.30652;606.09570;610.44635;15.79068;24.36027;35.12538;32.22511;19.34635;19.52949;0.58496;0.67418;40.00465;-20.80210;3.05609;3.25768;3.08171;1.66893
85.44730;88.95214;0.01170;0.01186;0.00379;1.00000;1.00000;90.69595;90.23725;104.71976;104.71972;104.37104;120.50935;120.50937;2.06041;-1.04695;141.10846;-0.06323;-0.67051;-36.99099;-72.61729;10004.43457;9538.07422;0.00000;9995.50195;-36.50000;-73.00000;11.53624;0.45577;0.03951;10.03398;645.69971;612.25702;606.63416;610.84656;16.49932;24.37434;35.15881;32.38129;19.47989;19.66554;0.58470;0.66951;38.83043;-19.35386;2.31887;3.20211;3.03323;1.63642
85.72710;92.86776;0.01166;0.01154;0.00392;1.00000;1.00000;90.24819;89.76297;104.16902;104.16895;103.85577;119.87557;119.87559;2.12275;-0.99569;141.11197;-0.07208;-0.64583;-36.99136;-72.61691;10004.22559;9547.74707;0.00000;9995.29883;-36.50000;-73.00000;11.54747;0.46019;0.03985;10.20610;642.71442;610.95746;606.88251;611.28601;17.16803;24.45946;35.20126;32.53344;19.61483;19.80902;0.58432;0.66556;38.26416;-18.43531;2.08186;3.20225;2.99029;1.60744
87.06439;93.72071;0.01149;0.01149;0.00385;1.00000;1.00000;89.76938;89.26879;103.59515;103.59504;103.30476;119.21517;119.21517;2.20079;-0.99350;141.11055;-0.08244;-0.62908;-36.99174;-72.61653;10003.98242;9557.28906;0.00000;9995.07129;-36.50000;-73.00000;11.55835;0.46587;0.04031;9.91515;641.22290;610.19818;608.87518;612.33978;17.70440;24.94888;35.39109;32.75386;19.84845;19.99679;0.58308;0.66621;38.06504;-17.19459;2.31332;3.16620;2.94779;1.58242
84.83183;89.25385;0.01179;0.01149;0.00379;1.00000;1.00000;89.28674;88.82556;103.08037;103.08029;102.74935;118.62278;118.62279;2.27193;-1.00313;141.10280;-0.07343;-0.61428;-36.99211;-72.61616;10003.73535;9566.75586;0.00000;9994.82324;-36.50000;-73.00000;11.56151;0.47145;0.04078;9.87332;641.38751;610.03107;610.39807;613.51508;18.23280;25.38297;35.64899;32.96287;20.05177;20.17935;0.58351;0.66841;39.56753;-17.62593;1.87159;3.18070;2.93768;1.57593
82.72897;88.50340;0.01209;0.01223;0.00421;1.00000;1.00000;88.84243;88.43678;102.62890;102.62888;102.23804;118.10323;118.10324;2.33037;-1.09463;141.08551;-0.04006;-0.61408;-36.99247;-72.61578;10003.55566;9576.23242;0.00000;9994.59863;-36.50000;-73.00000;11.55488;0.47619;0.04121;9.87119;642.38184;609.29547;611.04236;614.00592;18.25038;26.15105;35.92802;33.07544;20.20084;20.31370;0.58080;0.67594;41.34522;-18.61204;2.37880;3.17127;2.94278;1.58402
85.78323;82.93250;0.01166;0.01197;0.00382;1.00000;1.00000;88.44186;88.07347;102.20720;102.20721;101.77708;117.61794;117.61795;2.37660;-1.20065;141.05910;-0.00148;-0.63847;-36.99284;-72.61541;10003.48633;9572.57031;0.00000;9994.44336;-36.50000;-73.00000;11.54208;0.47996;0.04158;10.42537;642.20367;608.01355;610.29224;613.99597;17.98506;26.98619;36.08556;33.12460;20.26735;20.41969;0.57577;0.68447;42.59784;-19.24980;3.59632;3.19013;2.99257;1.58794
83.82686;82.45383;0.01193;0.01158;0.00405;1.00000;1.00000;88.05303;87.65457;101.72108;101.72108;101.32962;117.05853;117.05853;2.41809;-1.16055;141.04189;0.00577;-0.66146;-36.99321;-72.61504;10003.49805;9576.21777;0.00000;9994.37109;-36.50000;-73.00000;11.55549;0.48302;0.04180;10.04236;638.63336;605.50049;608.83862;612.40082;18.36238;26.92844;36.01867;33.13285;20.30398;20.46243;0.57459;0.67992;41.57526;-17.61968;2.85805;3.14522;2.89707;1.56246
80.90846;81.71938;0.01236;0.01198;0.00400;1.00000;1.00000;87.64167;87.24316;101.24363;101.24363;100.85624;116.50909;116.50909;2.47701;-1.10089;141.04883;-0.00645;-0.64897;-36.99357;-72.61467;10003.49219;9579.82422;0.00000;9994.36719;-36.50000;-73.00000;11.56051;0.48735;0.04216;9.92153;636.99951;604.48462;609.24231;612.61987;19.10083;26.84429;36.12830;33.27327;20.44979;20.59558;0.57710;0.67588;41.76952;-17.86361;1.74449;3.13312;2.87812;1.54629
82.97289;79.28957;0.01205;0.01153;0.00378;1.00000;1.00000;87.23214;86.86832;100.80859;100.80860;100.38496;116.00847;116.00848;2.54250;-1.18095;141.05783;-0.00436;-0.64463;-36.99394;-72.61430;10003.46875;9578.89160;0.00000;9994.31934;-36.50000;-73.00000;11.54772;0.49248;0.04265;9.85457;637.72266;604.10455;610.57642;613.71405;19.18298;27.59896;36.41817;33.43538;20.64446;20.77039;0.57471;0.68362;43.49571;-18.67330;2.60136;3.15931;2.92757;1.54616
81.15638;74.87272;0.01232;0.01213;0.00401;1.00000;1.00000;86.85042;86.53129;100.41750;100.41750;99.94568;115.55840;115.55840;2.58747;-1.25950;141.05836;0.01386;-0.66216;-36.99430;-72.61394;10003.48145;9573.21094;0.00000;9994.28711;-36.50000;-73.00000;11.53712;0.49612;0.04300;9.83028;637.84271;602.75299;610.18762;613.37738;19.11442;28.18272;36.59484;33.47450;20.72985;20.86023;0.57173;0.69020;44.75974;-19.61679;2.93157;3.18594;2.93168;1.55182
83.50649;74.74400;0.01198;0.01182;0.00372;1.00000;1.00000;86.51175;86.23230;100.07064;100.07062;99.55595;115.15924;115.15923;2.62774;-1.28782;141.06146;0.03026;-0.67790;-36.99466;-72.61357;10003.54297;9567.68848;0.00000;9994.34668;-36.50000;-73.00000;11.53133;0.49948;0.04332;9.81946;637.80072;601.81482;609.81342;613.22229;19.28160;28.47237;36.73393;33.53157;20.80462;20.94807;0.57124;0.69304;45.97756;-20.33986;2.60419;3.21399;2.93563;1.55511
84.96126;78.16775;0.01177;0.01155;0.00380;1.00000;1.00000;86.20388;85.95439;99.74830;99.74828;99.20166;114.78830;114.78831;2.66371;-1.32705;141.07007;0.04387;-0.69028;-36.99502;-72.61320;10003.64941;9562.19824;0.00000;9994.41992;-36.50000;-73.00000;11.52351;0.50244;0.04360;9.79422;637.55774;600.71967;609.30341;612.84259;19.34896;28.79199;36.85085;33.56494;20.86717;21.01555;0.56991;0.69639;46.95867;-20.95064;2.65736;3.23606;2.93800;1.55822
84.86236;86.14006;0.01178;0.01149;0.00389;1.00000;1.00000;85.91884;85.68762;99.43893;99.43889;98.87363;114.43228;114.43228;2.69682;-1.36892;141.08052;0.05225;-0.70637;-36.99538;-72.61285;10003.78906;9556.74316;0.00000;9994.52832;-36.50000;-73.00000;11.51398;0.50510;0.04387;10.27066;636.58917;599.74249;608.50092;612.48657;19.29083;29.18373;36.90297;33.60224;20.90822;21.08325;0.56724;0.70021;46.70081;-20.42106;3.41944;3.22333;2.92261;1.55318
